wallet,vendor,category,category_commentary,pqc_stance,pqc_stance_commentary,crypto_agility,crypto_agility_commentary,protocol_pqc,protocol_pqc_commentary,contract_pqc_support,contract_pqc_support_commentary,offchain_pqc,offchain_pqc_commentary,date_last_updated,audit,report
MetaMask,Consensys,,"Browser + mobile + Embedded Wallets (MPC, post-Web3Auth acquisition Jun 2025)",,No public Consensys PQC roadmap located,,Snaps Keyring API is wallet-level plugin signer architecture; mechanically a Dilithium Account Snap is possible today,,"Algorand via 3rd-party Snap; Snap signs Ed25519, not Falcon",,Snaps Keyring API in production hosts non-secp256k1 schemes; Consensys-internal Snaps PQC keyring track named publicly (no shipping date),,,,,
Phantom,Phantom,,Solana-primary (~15M MAU); expanded to Ethereum + Bitcoin + Polygon + Base + Monad,,,,Closed source; no plugin path,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
OKX Web3,OKX,,"Three custody flavors: BIP-39 seed (default), Keyless MPC-TSS (2-of-3), ERC-4337 Smart Account",,,,Closed wallet; threshold-lib Apache-2.0 archived Nov 2024,,,,Wallet attached to OKX exchange which has publicly committed to PQC migration via OKX research/quantum tracks; wallet-side contract-PQC integration not yet shipping,,,,,
Trust Wallet,Binance subsidiary,,Apache-2.0 Wallet Core (130+ chains) + Barz smart-contract wallet (8 EVM mainnets),,"Barz devdocs explicitly name ""BLS & PQC"" as planned future facets",,Barz EIP-2535 Diamond proxy with swappable signature-validator facets,,,,"Barz EIP-2535 Diamond proxy with swappable signature-validator facets; devdocs explicitly name ""BLS & PQC"" as planned future facets (no shipping date)",,,,,
Keplr,Chainapsis,,Cosmos ecosystem wallet; Apache-2.0,,,,experimentalSuggestChain is config-only NOT signer-pluggable,,,,"Cosmos SDK PQC discussions ongoing (Cosmos PQC task force, CometBFT PQC sig type proposals); Keplr-side tracking but no shipping integration",,,,,
Ronin Wallet,Sky Mavis,,Gaming-focused EOA wallet for Ronin chain; sibling Waypoint is 2-of-2 ECDSA-TSS MPC keyless,,,,,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Coinbase Wallet,Coinbase,,"Two products: Coinbase Wallet (legacy non-custodial) + Coinbase Smart Wallet (4337 passkey, 8 EVM mainnets)",,"Quantum Advisory Council Apr 2026 + CEO Brian Armstrong endorsing BIP-360/Winternitz + ""quantum-proof custody by late 2026""",,Smart Wallet P-256 verifier in production EVM bytecode at scale (same slot a Dilithium verifier would fill),,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Rabby,DeBank,,EVM-only multi-chain by DeBank; MIT,,,,No plugin path,,,,"EVM-only; ERC-4337 / EIP-7702 verifier path is the route, DeBank tracking but no committed PQC integration shipping",,,,,
Solflare,Solflare Labs,,Solana-only; closed clients (SDK/Snap OSS only),,,,Closed source; fixed Ed25519 signer,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
UniSat,UniSat Labs,,Bitcoin Ordinals/BRC-20/Runes specialist; MIT-licensed wallet client,,Conspicuously absent from BIP-360 discussions despite central Ordinals/Fractal position,,MIT but no plugin architecture,,,,,,,,,
Backpack,Coral,,Solana-primary multi-chain (GPL-3.0),,,,xNFTs are apps over accounts not signer extensions,,,,Supports Solana but does not ship Winternitz Vault UI; no other supported chain has a live deployed PQC contract,,,,,
Petra,Aptos Labs,,First-party Aptos wallet; closed clients,,Aptos AIP-137 (SLH-DSA) Accepted Dec 2025 chain-side; no Petra implementation timeline,,Closed,,,,,,,,,
